className,subCategory,name,internalName,infantryDamage,infantryRange,shots,bursts,crew,ammoType,tonnage,bv,cost,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
InfantryProstheticSMGWeapon,prosthetic,Prosthetic SMG,Prosthetic SMG,0.02,0,,,,NA,,0.0,600,"78, IO:AE",ALL,E,,
InfantryProstheticShockerWeapon,prosthetic,Prosthetic Shocker,Prosthetic Shocker,0.05,0,,,,NA,,0.0,650,"78, IO:AE",ALL,E,,
InfantryProstheticShotgunWeapon,prosthetic,Prosthetic Shotgun,Prosthetic Shotgun,0.05,0,,,,NA,,0.0,600,"78, IO:AE",ALL,E,,
InfantryProstheticSonicStunnerWeapon,prosthetic,Prosthetic Sonic Stunner,Prosthetic Sonic Stunner,0.05,0,,,,NA,,0.0,800,"78, IO:AE",ALL,E,2365,2365
InfantryProstheticVibroBladeWeapon,prosthetic,Prosthetic Vibro Blade,Prosthetic Vibro Blade,0.14,0,,,,NA,,0.0,1000,"78, IO:AE",ALL,E,2398,2398
InfantryPulseLaserPistolMedusaIII,pulseLaser,Pulse Laser Pistol (Medusa III),Pulse Laser Pistol (Medusa III),0.11,1,2,1,,INFANTRY,0.0011,0.0315,950,Shrapnel #9,IS,D,,
InfantryPulseLaserPistolMedusaIV,pulseLaser,Pulse Laser Pistol (Medusa IV),Pulse Laser Pistol (Medusa IV),0.21,1,3,1,,INFANTRY,0.0001,0.063,1500,Shrapnel #9,IS,E,,
InfantryPulseLaserPistolNWW12,pulseLaser,Pulse Laser Pistol (NWW-12),Pulse Laser Pistol (NWW-12),0.18,1,2,5,,INFANTRY,0.0009,0.054,850,Shrapnel #9,IS,C,,
InfantryPulseLaserPistolRDISunSwarmPulsar,pulseLaser,Pulse Laser Pistol (RDI SunSwarm Pulsar),Pulse Laser Pistol (RDI SunSwarm Pulsar),0.18,1,2,4,,INFANTRY,0.0001,0.054,1050,Shrapnel #9,IS,C,,
InfantryPulseLaserRifleDWSL5C,pulseLaser,Pulse Laser Rifle (DWS L5C),Pulse Laser Rifle (DWS L5C),0.36,3,7,6,,INFANTRY,0.0055,0.252,1800,Shrapnel #9,IS,C,,
InfantryPulseLaserRifleGaul,pulseLaser,Pulse Laser Rifle (Gaul),Pulse Laser Rifle (Gaul),0.36,4,7,6,,INFANTRY,0.0075,0.252,2200,Shrapnel #9,IS,D,,
InfantryPulseLaserRifleTirbuni,pulseLaser,Pulse Laser Rifle (Tirbuni),Pulse Laser Rifle (Tirbuni),0.56,4,8,5,,INFANTRY,0.0074,0.9,1900,Shrapnel #9,IS,D,,
InfantryRifleAutoRifleWeapon,rifle,"Auto-Rifle (Modern, Generic)","Auto-Rifle (Modern, Generic)",0.52,1,30,2,,INFANTRY,.004,1.59,80,"273, TM",ALL,C,1950,1950
InfantryRifleElephantGunWeapon,rifle,Elephant Gun,Elephant Gun,0.11,1,2,,,INFANTRY,.005,0.34,100,"273, TM",ALL,B,1950,1950
InfantryRifleThunderstrokeIIWeapon,rifle,Gauss Rifle (Thunderstroke II),Gauss Rifle (Thunderstroke II),0.53,2,20,,,INFANTRY,.0065,2.71,3500,"273, TM",IS,E,3058,
InfantryRifleThunderstrokeWeapon,rifle,Gauss Rifle (Thunderstroke),Gauss Rifle (Thunderstroke),0.26,1,5,,,INFANTRY,.007,0.79,2500,"273, TM",IS,E,3055,
InfantryRifleHeavyGyrojetGunWeapon,rifle,Gyrojet Gun (Heavy),Gyrojet Gun (Heavy),0.21,2,5,,,INFANTRY,.010,1.07,2500,"273, TM",ALL,D,2585,2585
InfantryRifleGyrojetRifleWeapon,rifle,Gyrojet Rifle,Gyrojet Rifle,0.35,1,10,,,INFANTRY,.007,1.07,1000,"273, TM",ALL,D,2535,2535
InfantryRifleGyroslugCarbineWeapon,rifle,Gyroslug Carbine,Gyroslug Carbine,0.28,1,20,,,INFANTRY,.004,0.86,800,"273, TM",ALL,D,2570,2570
InfantryRifleStarKingGyroslugCarbineWeapon,rifle,Gyroslug Carbine (Star King),Gyroslug Carbine (Star King),0.35,1,20,,,INFANTRY,.008,1.07,950,"273, TM",IS,D,2775,
InfantryRifleGyroslugRifleWeapon,rifle,Gyroslug Rifle,Gyroslug Rifle,0.35,1,50,,,INFANTRY,.008,1.07,1000,"273, TM",ALL,D,2520,2520
InfantryRifleLaserWeapon,rifle,Laser Rifle,Laser Rifle,0.28,2,6,,,INFANTRY,.005,1.43,1250,"273, TM",ALL,D,2100,2100
InfantryRifleBlazerRifleWeapon,rifle,Laser Rifle (Blazer),Laser Rifle (Blazer),0.35,2,3,,,INFANTRY,.007,1.79,2190,"273, TM",ALL,D,2100,2100
InfantryRifleSunbeamStarfireERLaserWeapon,rifle,Laser Rifle (ER [Sunbeam Starfire]),Laser Rifle (ER [Sunbeam Starfire]),0.28,3,5,,,INFANTRY,.005,2.01,2500,"273, TM",IS,E,3050,
InfantryRifleClanERLaserWeapon,rifle,Laser Rifle (ER),Laser Rifle (ER),0.28,3,6,,,INFANTRY,.005,2.01,2000,"273, TM",CLAN,F,,2840
InfantryRifleEbonyAssaultLaserWeapon,rifle,Laser Rifle (Ebony Assault),Laser Rifle (Ebony Assault),0.21,2,3,,,INFANTRY,.010,1.07,8500,"273, TM",IS,F,3056,
InfantryRifleFederatedBarrettM61ALaserWeapon,rifle,Laser Rifle (Federated-Barrett M61A),InfantryFederatedBarrettM61A,0.75,2,6,,,INFANTRY,.006,3.83,2150,"273, TM",IS,D,3058,
InfantryRifleFederatedBarrettM61ALaserInfernoWeapon,rifle,Laser Rifle (Federated-Barrett M61A) (Inferno Grenades),InfantryFederatedBarrettM61AInferno,0.55,2,6,,,INFANTRY,.006,1.17,2150,"273, TM",IS,D,3058,
InfantryRifleIntekLaserWeapon,rifle,Laser Rifle (Intek),Laser Rifle (Intek),0.21,3,15,,,INFANTRY,.005,1.51,1250,"273, TM",IS,D,2875,
InfantryRifleMagnaLaserWeapon,rifle,Laser Rifle (Magna),Laser Rifle (Magna),0.26,2,6,,,INFANTRY,.006,1.33,1500,"273, TM",ALL,D,2460,2460
InfantryRifleMarxXXLaserWeapon,rifle,Laser Rifle (Marx XX),Laser Rifle (Marx XX),0.26,3,5,,,INFANTRY,.006,1.86,1750,"273, TM",ALL,D,2685,2685
InfantryRifleMauser1200LSSWeapon,rifle,Laser Rifle (Mauser 1200 LSS),Laser Rifle (Mauser 1200 LSS),1.04,2,6,1,,INFANTRY,.011,5.32,10000,"273, TM",IS,E,3052,
InfantryRifleMauser960LaserWeapon,rifle,Laser Rifle (Mauser 960),Laser Rifle (Mauser 960),0.93,2,15,2,,NA,.0108,4.75,8000,"273, TM",ALL,E,2698,2698
InfantryRifleClanMauserIICIASWeapon,rifle,Laser Rifle (Mauser IIC IAS),Laser Rifle (Mauser IIC IAS),1.37,3,6,,,INFANTRY,0.0012,9.82,18000,"273, TM",CLAN,F,,3013
InfantryRifleClanMauserIICIASInfernoWeapon,rifle,Laser Rifle (Mauser IIC IAS) (Inferno Grenades),Laser Rifle (Mauser IIC IAS) (Inferno Grenades),0.90,3,6,,,INFANTRY,0.0012,6.45,18000,"273, TM",CLAN,F,,3013
InfantryRifleMaxellPL10LaserWeapon,rifle,Laser Rifle (Maxell PL-10),Laser Rifle (Maxell PL-10),0.26,2,3,,,INFANTRY,.0065,1.33,2000,"273, TM",IS,D,3057,
InfantryRifleNeedlerWeapon,rifle,Needler Rifle,Needler Rifle,0.23,0,20,,,INFANTRY,.001,0.21,75,"273, TM",ALL,D,2100,2100
InfantryRifleMGFlechetteNeedlerWeapon,rifle,Needler Rifle (M&G Flechette),Needler Rifle (M&G Flechette),0.11,0,8,,,INFANTRY,.0015,0.10,200,"273, TM",ALL,D,2320,2320
InfantryRifleShredderHeavyNeedlerWeapon,rifle,Needler Rifle (Shredder Heavy),Needler Rifle (Shredder Heavy),0.34,0,10,,,INFANTRY,.001,0.31,150,"273, TM",IS,D,3051,
InfantryRiflePulseLaserWeapon,rifle,Pulse Laser Rifle (Inner Sphere),Pulse Laser Rifle (Inner Sphere),0.25,1,6,1,,NA,.005,0.76,1000,"273, TM",ALL,D,2678,2678
InfantryRifleClanPulseLaserWeapon,rifle,Pulse Laser Rifle [Clan],Pulse Laser Rifle [Clan],0.33,2,8,1,,INFANTRY,.005,1.69,3000,"273, TM",CLAN,F,,2833
InfantryRifleBoltActionWeapon,rifle,Rifle (Bolt-Action),Rifle (Bolt-Action),0.14,1,20,,,INFANTRY,.003,0.43,60,"273, TM",ALL,B,1950,1950
InfantryRifleFederatedLongWeapon,rifle,Rifle (Federated Long),Rifle (Federated Long),0.35,1,10,,,INFANTRY,.005,1.07,120,"273, TM",IS,C,2860,
InfantryRifleFederatedBarrettM42BWeapon,rifle,Rifle (Federated-Barrett M42B),InfantryFederatedBarrettM42B,1.02,1,50,5,,INFANTRY,.006,3.12,1385,"273, TM",IS,C,3060,
InfantryRifleFederatedBarrettM42BInfernoWeapon,rifle,Rifle (Federated-Barrett M42B) (Inferno Grenades),InfantryFederatedBarrettM42BInferno,0.82,1,50,5,,INFANTRY,.006,2.3,1385,"273, TM",IS,C,3060,
InfantryRifleImperatorAX22AssaultWeapon,rifle,Rifle (Imperator AX-22 Assault),Rifle (Imperator AX-22 Assault),0.52,1,15,1,,INFANTRY,.0035,1.59,200,"273, TM",IS,C,3052,
InfantryRifleMauserG150Weapon,rifle,Rifle (M&G G-150),Rifle (M&G G-150),0.32,2,9,3,,INFANTRY,.0035,1.64,270,"273, TM",IS,C,3058,
InfantryRifleMakeshiftWeapon,rifle,Rifle (Makeshift),Rifle (Makeshift),0.03,1,1,,,INFANTRY,.006,0.09,20,"273, TM",IS,B,1950,
InfantryRifleStrikerCarbineRifleWeapon,rifle,Rifle (Striker Carbine),Rifle (Striker Carbine),0.29,1,60,2,,INFANTRY,.003,.29,875,"HBHL, 147",IS,D,3055,
InfantryRifleTKAssaultWeapon,rifle,Rifle (TK Assault),Rifle (TK Assault),0.44,1,20,2,,INFANTRY,.0055,1.34,150,"273, TM",IS,C,2865,
InfantryRifleVintageWeapon,rifle,Rifle (Vintage Assault),Rifle (Vintage Assault),0.17,1,30,3,,INFANTRY,0.0045,0.0,2000,"195, AToW-C",ALL,C,1950,1950
InfantryRifleZeusHeavyWeapon,rifle,Rifle (Zeus Heavy),Rifle (Zeus Heavy),0.22,1,5,,,INFANTRY,.008,0.67,200,"273, TM",ALL,C,2740,2740
InfantryRifleVSPLaserWeapon,rifle,Variable-Pulse Laser Rifle,Variable-Pulse Laser Rifle,0.33,1,6,1,,INFANTRY,0.006,0.0,4500,"195, AToW-C",IS,E,3075,
InfantryShotgunAutomaticWeapon,shotgun,Auto-Shotgun,Auto-Shotgun,0.23,0,12,3,,INFANTRY,.005,0.21,200,"273, TM",ALL,C,2100,2100
InfantryShotgunCeresCrowdbusterWeapon,shotgun,Ceres Arms Crowdbuster,Ceres Arms Crowdbuster,0.11,0,15,,,INFANTRY,.001,0.10,150,"273, TM",IS,D,3028,
InfantryShotgunBuccaneerGelGunWeapon,shotgun,Gel Gun (Buccaneer),Gel Gun (Buccaneer),0.07,0,15,,,INFANTRY,.0025,0.06,200,"269, ATOW",IS,C,3030,
InfantryShotgunAMIKeymaster15,shotgun,Shotgun (AMI Keymaster-15),Shotgun (AMI Keymaster-15),0.21,0,4,1,,INFANTRY,0.0012,.084,250,Shrapnel #7,IS,C,,
InfantryShotgunAWAAS105,shotgun,Shotgun (AWA AS-105),Shotgun (AWA AS-105),0.36,1,10,1,,INFANTRY,0.0029,.36,350,Shrapnel #7,IS,D,,
InfantryShotgunAWASS112,shotgun,Shotgun (AWA SS-112),Shotgun (AWA SS-112),0.36,1,7,1,,INFANTRY,0.0028,.252,300,Shrapnel #7,IS,D,,
InfantryShotgunAvengerCCWWeapon,shotgun,Shotgun (Avenger CCW),Shotgun (Avenger CCW),0.33,0,15,5,,INFANTRY,.0055,0.30,345,"273, TM",CLAN,C,,3019
InfantryShotgunByron15S,shotgun,Shotgun (Byron 15S),Shotgun (Byron 15S),0.56,1,6,1,,INFANTRY,0.0035,.675,600,Shrapnel #7,IS,D,,
InfantryShotgunCWIJianhuren,shotgun,Shotgun (CWI Jianhuren),Shotgun (CWI Jianhuren),0.14,1,4,1,,INFANTRY,0.0027,.054,225,Shrapnel #7,IS,D,,
InfantryShotgunCombatWeapon,shotgun,Shotgun (Combat),Shotgun (Combat),0.27,0,8,,,INFANTRY,.0045,0.25,175,"273, TM",ALL,C,1950,1950
InfantryShotgunDPS305,shotgun,Shotgun (DPS-305),Shotgun (DPS-305),0.27,0,10,1,,INFANTRY,0.0035,.27,350,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIC,shotgun,Shotgun (Daystar I (C)),Shotgun (Daystar I (C)),0.2,1,12,1,,INFANTRY,0.0028,.202,250,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIM,shotgun,Shotgun (Daystar I (M)),Shotgun (Daystar I (M)),0.25,1,12,4,,INFANTRY,0.0029,.248,200,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIIC,shotgun,Shotgun (Daystar II (C)),Shotgun (Daystar II (C)),0.2,1,12,1,,INFANTRY,0.0028,.202,250,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIIM,shotgun,Shotgun (Daystar II (M)),Shotgun (Daystar II (M)),0.25,1,12,4,,INFANTRY,0.0029,.248,200,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIIIC,shotgun,Shotgun (Daystar III (C)),Shotgun (Daystar III (C)),0.36,1,15,1,,INFANTRY,0.0026,.36,350,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIIIM,shotgun,Shotgun (Daystar III (M)),Shotgun (Daystar III (M)),0.44,1,15,5,,INFANTRY,0.0027,.44,400,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIVC,shotgun,Shotgun (Daystar IV (C)),Shotgun (Daystar IV (C)),0.36,1,15,1,,INFANTRY,0.0026,.36,350,Shrapnel #7,IS,C,,
InfantryShotgunDaystarIVM,shotgun,Shotgun (Daystar IV (M)),Shotgun (Daystar IV (M)),0.44,1,15,5,,INFANTRY,0.0027,.44,400,Shrapnel #7,IS,C,,
InfantryShotgunDaystarVC,shotgun,Shotgun (Daystar V (C)),Shotgun (Daystar V (C)),0.45,1,18,1,,INFANTRY,0.0024,.44,450,Shrapnel #7,IS,C,,
InfantryShotgunDaystarVM,shotgun,Shotgun (Daystar V (M)),Shotgun (Daystar V (M)),0.55,1,18,6,,INFANTRY,0.0025,.55,600,Shrapnel #7,IS,C,,
InfantryShotgunDokuhebi,shotgun,Shotgun (Dokuhebi),Shotgun (Dokuhebi),0.45,0,5,1,,INFANTRY,0.0024,.225,420,Shrapnel #7,IS,C,,
InfantryShotgunDoubleBarrelWeapon,shotgun,Shotgun (Double-Barrel),Shotgun (Double-Barrel),0.03,0,2,,,INFANTRY,.004,0.03,30,"273, TM",ALL,B,1950,1950
InfantryShotgunSawedOffDoubleBarrelWeapon,shotgun,"Shotgun (Double-Barrel, Sawed Off)","Shotgun (Double-Barrel, Sawed Off)",0.03,0,2,,,INFANTRY,.003,0.03,30,"273, TM",ALL,B,1950,1950
InfantryShotgunDuckettA5,shotgun,Shotgun (Duckett A-5),Shotgun (Duckett A-5),0.36,1,8,1,,INFANTRY,0.0029,.288,400,Shrapnel #7,IS,D,,
InfantryShotgunHastariIII,shotgun,Shotgun (Hastari III),Shotgun (Hastari III),0.27,1,15,1,,INFANTRY,0.0035,.27,800,Shrapnel #7,IS,D,,
InfantryShotgunMarburg20,shotgun,Shotgun (Marburg-20),Shotgun (Marburg-20),0.36,1,10,1,,INFANTRY,0.0043,.36,500,Shrapnel #7,IS,C,,
InfantryShotgunMarburg20M,shotgun,Shotgun (Marburg-20M),Shotgun (Marburg-20M),0.36,2,14,1,,INFANTRY,0.0039,.36,600,Shrapnel #7,IS,C,,
InfantryShotgunMorriganStormsweeper,shotgun,Shotgun (Morrigan Stormsweeper),Shotgun (Morrigan Stormsweeper),0.56,1,20,1,,INFANTRY,0.004,1.125,800,Shrapnel #7,IS,C,,
InfantryShotgunPumpActionWeapon,shotgun,Shotgun (Pump-Action),Shotgun (Pump-Action),0.08,0,6,,,INFANTRY,.004,0.07,40,"273, TM",ALL,B,1950,1950
InfantryShotgunSawedOffPumpActionWeapon,shotgun,"Shotgun (Pump-Action, Sawed Off)","Shotgun (Pump-Action, Sawed Off)",0.08,0,6,,,INFANTRY,.003,0.07,40,"273, TM",ALL,B,1950,1950
InfantryShotgunRisen15,shotgun,Shotgun (Risen-15),Shotgun (Risen-15),0.27,0,8,1,,INFANTRY,0.0039,.216,250,Shrapnel #7,IS,C,,
InfantryShotgunSDType31,shotgun,Shotgun (SD Type-31),Shotgun (SD Type-31),0.45,1,10,1,,INFANTRY,0.003,.45,450,Shrapnel #7,IS,D,,
InfantryShotgunSGM3,shotgun,Shotgun (SGM-3),Shotgun (SGM-3),0.25,1,12,4,,INFANTRY,0.0029,.248,1000,Shrapnel #7,IS,C,,
InfantryShotgunSGS9,shotgun,Shotgun (SGS-9),Shotgun (SGS-9),0.36,1,14,3,,INFANTRY,0.0027,.36,1200,Shrapnel #7,CLAN,C,,
InfantryShotgunSGS9E,shotgun,Shotgun (SGS-9E),Shotgun (SGS-9E),0.69,1,21,3,,INFANTRY,0.0045,1.375,1500,Shrapnel #7,CLAN,C,,
InfantryShotgunWakazashiWeapon,shotgun,Shotgun (Wakazashi O-12),Shotgun (Wakazashi O-12),0.35,0,10,3,,INFANTRY,.0052,0.35,180,"176,HBHK",ALL,D,,
InfantryShotgunWranglemanTriBarrel,shotgun,Shotgun (Wrangleman Tri-Barrel),Shotgun (Wrangleman Tri-Barrel),0.27,1,9,1,,INFANTRY,0.003,.243,750,Shrapnel #7,IS,C,,
InfantrySMGClanGaussWeapon,smg,Gauss Submachine Gun,Gauss Submachine Gun,0.45,1,30,10,,INFANTRY,.0045,1.38,2000,"273, TM",CLAN,E,,3051
InfantrySMGAWAStarlingMk7,smg,SMG (AWA Starling Mk7),SMG (AWA Starling Mk7),0.33,1,32,8,,INFANTRY,0.0029,.33,300,Shrapnel #5,IS,D,,
InfantrySMGAWAStarlingMk7LB,smg,SMG (AWA Starling Mk7-LB),SMG (AWA Starling Mk7-LB),0.33,1,32,8,,INFANTRY,0.0031,.33,400,Shrapnel #5,IS,D,,
InfantrySMGAWAStarlingMk7SF,smg,SMG (AWA Starling Mk7-SF),SMG (AWA Starling Mk7-SF),0.33,1,32,8,,INFANTRY,0.0034,.33,600,Shrapnel #5,IS,D,,
InfantrySMGBlackfieldScorpionMk65,smg,SMG (Blackfield Scorpion Mk 65),SMG (Blackfield Scorpion Mk 65),0.2,0,20,5,,INFANTRY,0.0014,.202,420,Shrapnel #5,IS,C,,
InfantrySMGBoudicca4,smg,SMG (Boudicca-4),SMG (Boudicca-4),0.27,1,30,6,,INFANTRY,0.0025,.27,300,Shrapnel #5,IS,C,,
InfantrySMGBoudicca5,smg,SMG (Boudicca-5),SMG (Boudicca-5),0.45,1,30,6,,INFANTRY,0.0023,.9,500,Shrapnel #5,IS,C,,
InfantrySMGBoudicca7,smg,SMG (Boudicca-7),SMG (Boudicca-7),0.69,1,40,8,,INFANTRY,0.0021,1.375,700,Shrapnel #5,IS,C,,
InfantrySMGDSKLargoSGA,smg,SMG (DSK Largo SGA),SMG (DSK Largo SGA),0.44,2,50,10,,INFANTRY,0.0037,.44,600,Shrapnel #5,IS,C,,
InfantrySMGDSKLargoSGB,smg,SMG (DSK Largo SGB),SMG (DSK Largo SGB),0.44,2,50,10,,INFANTRY,0.0035,.44,700,Shrapnel #5,IS,C,,
InfantrySMGGuntherMP20Weapon,smg,SMG (Gunther MP-20),SMG (Gunther MP-20),0.33,0,30,6,,INFANTRY,.0025,0.30,125,"273, TM",IS,C,3005,
InfantrySMGHouwei,smg,SMG (Houwei),SMG (Houwei),0.36,1,30,6,,INFANTRY,0.0035,.36,250,Shrapnel #5,IS,D,,
InfantrySMGHunkleV,smg,SMG (Hunkle V),SMG (Hunkle V),0.55,1,100,10,,INFANTRY,0.0027,1.1,600,Shrapnel #5,IS,C,,
InfantrySMGImperator2894A1Weapon,smg,SMG (Imperator 2894A1),SMG (Imperator 2894A1),0.22,0,50,5,,INFANTRY,.004,0.20,100,"273, TM",IS,C,2838,
InfantrySMGJ15Hagel,smg,SMG (J-15 Hagel),SMG (J-15 Hagel),0.33,1,25,10,,INFANTRY,0.0027,.33,400,Shrapnel #5,IS,D,,
InfantrySMGJ17Hagel,smg,SMG (J-17 Hagel),SMG (J-17 Hagel),0.55,1,25,8,,INFANTRY,0.0023,.55,700,Shrapnel #5,IS,D,,
InfantrySMGJinseYanjingsheAPRounds,smg,SMG (Jinse Yanjingshe (AP Rounds)),SMG (Jinse Yanjingshe (AP Rounds)),0.63,1,30,5,,INFANTRY,0.0031,1.26,675,Shrapnel #5,IS,C,,
InfantrySMGJinseYanjingsheStandard,smg,SMG (Jinse Yanjingshe (Standard)),SMG (Jinse Yanjingshe (Standard)),0.56,1,30,5,,INFANTRY,0.0031,1.125,675,Shrapnel #5,IS,C,,
InfantrySMGKA23Weapon,smg,SMG (KA-23 Submachine Gun),SMG (KA-23 Submachine Gun),0.22,0,40,4,,INFANTRY,.0025,0.20,350,"273, TM",IS,D,2890,
InfantrySMGNambuTypeS124,smg,SMG (Nambu Type S-124),SMG (Nambu Type S-124),0.2,1,30,7,,INFANTRY,0.0039,.202,450,Shrapnel #5,IS,C,,
InfantrySMGRFWBedivere,smg,SMG (RFW Bedivere),SMG (RFW Bedivere),0.2,1,30,7,,INFANTRY,0.0012,.202,560,Shrapnel #5,IS,D,,
InfantrySMGRorynexRM3XXIWeapon,smg,SMG (Rorynex RM-3/XXI),SMG (Rorynex RM-3/XXI),0.20,0,100,6,,INFANTRY,.003,0.18,80,"273, TM",ALL,D,2655,2655
InfantrySMGRuganWeapon,smg,SMG (Rugan),SMG (Rugan),0.20,0,100,7,,INFANTRY,.0035,0.18,100,"273, TM",ALL,C,2718,2718
InfantrySMGSpartacus,smg,SMG (Spartacus),SMG (Spartacus),0.44,2,50,8,,INFANTRY,0.0028,.44,750,Shrapnel #5,IS,D,,
InfantrySMGSturmHornetMkIII,smg,SMG (Sturm Hornet Mk III),SMG (Sturm Hornet Mk III),0.27,1,30,6,,INFANTRY,0.0034,.27,750,Shrapnel #5,IS,C,,
InfantrySMGSupekuta,smg,SMG (Supekuta),SMG (Supekuta),0.33,1,30,10,,INFANTRY,0.0025,.33,200,Shrapnel #5,IS,C,,
InfantrySMGTiberius,smg,SMG (Tiberius),SMG (Tiberius),0.55,1,50,12,,INFANTRY,0.003,1.1,600,Shrapnel #5,IS,D,,
InfantrySMGWC2,smg,SMG (WC-2),SMG (WC-2),0.2,1,30,5,,INFANTRY,0.0023,.202,700,Shrapnel #5,IS,C,,
InfantrySMGWC6,smg,SMG (WC-6),SMG (WC-6),0.27,2,30,5,,INFANTRY,0.0022,.27,800,Shrapnel #5,CLAN,C,,
InfantrySMGWolfBarronA7,smg,SMG (Wolf-Barron A7),SMG (Wolf-Barron A7),0.25,0,50,8,,INFANTRY,0.0029,.2475,450,Shrapnel #5,IS,C,,
InfantrySMGWeapon,smg,Submachine Gun,Submachine Gun,0.25,0,50,5,,INFANTRY,.003,0.23,80,"273, TM",ALL,C,1950,1950
InfantrySniperRifleBartonAMRAntiArmor,sniperRifle,Sniper Rifle (Barton AMR (Anti-Armor)),Sniper Rifle (Barton AMR (Anti-Armor)),0.74,7,8,1,,INFANTRY,0.014,1.176,700,Shrapnel #1,IS,D,,
InfantrySniperRifleBartonAMRStandard,sniperRifle,Sniper Rifle (Barton AMR (Standard)),Sniper Rifle (Barton AMR (Standard)),0.61,7,8,1,,INFANTRY,0.014,.98,700,Shrapnel #1,IS,D,,
InfantrySniperRifleSniperWeapon,sniperRifle,Sniper Rifle (Bolt Action),Sniper Rifle (Bolt Action),0.18,2,5,,,INFANTRY,.010,0.92,350,"273, TM",ALL,B,1950,1950
InfantrySniperRifleFNFJ12DarkCaste,sniperRifle,Sniper Rifle (FNF-J12 (Dark Caste)),Sniper Rifle (FNF-J12 (Dark Caste)),0.42,5,8,1,,INFANTRY,0.006,.336,3500,Shrapnel #1,CLAN,E,,
InfantrySniperRifleFNFJ12SLDF,sniperRifle,Sniper Rifle (FNF-J12 (SLDF)),Sniper Rifle (FNF-J12 (SLDF)),0.42,6,8,1,,INFANTRY,0.006,.336,3500,Shrapnel #1,IS,E,,
InfantrySniperRifleHammelMarksman,sniperRifle,Sniper Rifle (Hammel Marksman),Sniper Rifle (Hammel Marksman),0.28,4,12,1,,INFANTRY,0.005,.28,500,Shrapnel #1,IS,C,,
InfantrySniperRifleLRS53SniperRifle,sniperRifle,Sniper Rifle (LRS-53 Sniper Rifle),Sniper Rifle (LRS-53 Sniper Rifle),0.28,5,9,1,,INFANTRY,0.006,.252,1000,Shrapnel #1,IS,C,,
InfantrySniperRifleLancelotMkV,sniperRifle,Sniper Rifle (Lancelot Mk V),Sniper Rifle (Lancelot Mk V),0.28,4,10,1,,INFANTRY,0.006,.28,400,Shrapnel #1,IS,C,,
InfantrySniperRifleMinolta9000Weapon,sniperRifle,Sniper Rifle (Minolta 9000 Advanced Sniper System),Sniper Rifle (Minolta 9000 Advanced Sniper System),0.35,2,10,,,INFANTRY,.006,1.79,1000,"273, TM",IS,D,3052,
InfantrySniperRiflePraetorianS3,sniperRifle,Sniper Rifle (Praetorian S-3),Sniper Rifle (Praetorian S-3),0.44,5,10,1,,INFANTRY,0.008,.875,400,Shrapnel #1,IS,C,,
InfantrySniperRiflePraetorianS5,sniperRifle,Sniper Rifle (Praetorian S-5),Sniper Rifle (Praetorian S-5),0.53,5,10,1,,INFANTRY,0.007,1.05,600,Shrapnel #1,IS,C,,
InfantrySniperRifleRadiumLaserWeapon,sniperRifle,Sniper Rifle (Radium Sniper),Sniper Rifle (Radium Sniper),0.36,3,5,,,INFANTRY,.012,2.58,9500,"273, TM",IS,E,2582,
InfantrySniperRifleSR17SunsKiller,sniperRifle,Sniper Rifle (SR-17 Suns Killer),Sniper Rifle (SR-17 Suns Killer),0.35,5,15,1,,INFANTRY,0.006,.35,600,Shrapnel #1,IS,C,,
InfantrySniperRifleSairentosutomu,sniperRifle,Sniper Rifle (Sairentosutomu),Sniper Rifle (Sairentosutomu),0.28,5,8,1,,INFANTRY,0.007,.224,900,Shrapnel #1,IS,D,,
InfantrySniperRifleThorsHammer,sniperRifle,Sniper Rifle (Thors Hammer),Sniper Rifle (Thors Hammer),0.28,6,10,1,,INFANTRY,0.007,0.28,750,Shrapnel #1,IS,D,,
InfantrySniperRifleWilimtonRS14,sniperRifle,Sniper Rifle (Wilimton RS-14),Sniper Rifle (Wilimton RS-14),0.35,5,10,1,,INFANTRY,0.007,0.35,1500,Shrapnel #1,IS,E,,
InfantrySniperRifleWilimtonRS17Stripped,sniperRifle,Sniper Rifle (Wilimton RS-17 (Stripped)),Sniper Rifle (Wilimton RS-17 (Stripped)),0.53,6,10,1,,INFANTRY,0.009,1.05,2000,Shrapnel #1,IS,E,,
InfantrySniperRifleYuanLing,sniperRifle,Sniper Rifle (Yuan Ling),Sniper Rifle (Yuan Ling),0.28,7,10,1,,INFANTRY,0.006,0.28,1000,Shrapnel #1,IS,D,,
InfantrySupportMk1LightAAWeapon,support,"AA Weapon (Mk. 1, Light)","AA Weapon (Mk. 1, Light)",0.23,1,,,1,NA,.005,0.70,1000,"273, TM",ALL,D,2490,2490
InfantrySupportMk2PortableAAWeapon,support,"AA Weapon (Mk. 2, Man-Portable)","AA Weapon (Mk. 2, Man-Portable)",0.81,2,4,,2,INFANTRY,.035,4.14,3500,"273, TM",ALL,D,2498,2498
