className,javaPackage,category,name,internalName,sortingName,heat,damage,rackSize,minimumRange,shortRange,mediumRange,longRange,extremeRange,waterShortRange,waterMediumRange,waterLongRange,waterExtremeRange,tonnage,criticalSlots,bv,cost,shortAV,medAV,longAV,extAV,maxRange,explosionDamage,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
ISBAMRM3,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 3,ISBAMRM3,,,,3,,3,8,15,22,,,,,.18,2,18,15000,,,,,,,"261, TM",IS,E,3058,
ISBAMRM3OS,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 3 (OS),ISBAMRM3OS,,,,3,,3,8,15,22,,,,,.15,3,4,7500,,,,,,,"261, TM",IS,E,3058,
ISBAMRM4,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 4,ISBAMRM4,,,,4,,3,8,15,22,,,,,.24,3,23,20000,,,,,,,"261, TM",IS,E,3058,
ISBAMRM4OS,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 4 (OS),ISBAMRM4OS,,,,4,,3,8,15,22,,,,,.2,3,5,10000,,,,,,,"261, TM",IS,E,3058,
ISBAMRM5,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 5,ISBAMRM5,,,,5,,3,8,15,22,,,,,.3,3,28,25000,,,,,,,"261, TM",IS,E,3058,
ISBAMRM5OS,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 5 (OS),ISBAMRM5OS,,,,5,,3,8,15,22,,,,,.25,4,6,12500,,,,,,,"261, TM",IS,E,3058,
CLBAMGBearhunterSuperheavy,megamek.common.weapons.battleArmor.clan.mg,battleArmor,Machine Gun (Bearhunter AC),,,0,3,,,0,1,2,3,,,,,0.15,2,4,,,,,,,,"258, TM",CLAN,D,,3060
CLBAMGBearhunterSuperheavyACi,megamek.common.weapons.battleArmor.clan.mg,battleArmor,Machine Gun (Bearhunter ACi),,,0,5,,,0,1,2,2,,,,,0.15,2,9,,,,,,,,Unofficial,CLAN,D,,3060
CLBAMGHeavy,megamek.common.weapons.battleArmor.clan.mg,battleArmor,Machine Gun (Heavy),CLBAHeavyMG,MG D,0,3,3,,1,2,2,2,,,,,0.15,1,6,7500,,,,,,,"258, TM",ALL,D,,3055
ISBAMGHeavy,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Machine Gun (Heavy),ISBAHeavyMachineGun,MG D,0,3,3,,1,2,2,2,,,,,0.15,1,6,7500,,,,,,,"258, TM",IS,C,,
CLBAMGLight,megamek.common.weapons.battleArmor.clan.mg,battleArmor,Machine Gun (Light),CLBALightMG,MG B,0,1,1,,2,4,6,8,,,,,0.075,1,5,5000,,,,,,,"258, TM",ALL,C,,3055
CLBAMG,megamek.common.weapons.battleArmor.clan.mg,battleArmor,Machine Gun (Medium),CLBAMG,MG C,0,2,2,,1,2,3,4,,,,,0.1,1,5,5000,,,,,,,"258, TM",ALL,C,,
ISBALaserMedium,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,Medium Laser,ISBAMediumLaser,Laser C,,5,,,3,6,9,12,2,4,6,8,0.5,3,46,40000,5,,,,Short,,"258, TM",IS,E,3050,
CLBAPulseLaserMedium,megamek.common.weapons.battleArmor.clan.laser,battleArmor,Medium Pulse Laser,CLBAMediumPulseLaser,Laser Pulse C,4,7,,,4,8,12,16,3,5,8,12,.8,3,111,60000,7,7,,,Medium,,"258, TM",CLAN,F,,2870
ISBALaserPulseMedium,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,Medium Pulse Laser,ISBAMediumPulseLaser,Laser Pulse C,,6,,,2,4,6,8,2,3,4,6,0.8,3,48,60000,6,,,,Short,,"258, TM",IS,E,3057,
ISBALaserVSPMedium,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,Medium VSP Laser,ISBAMediumVSPLaser,Laser VSP C,7,,,,2,5,9,13,1,3,6,9,.9,4,56,200000,7,,,,Short,,"133, TO:AUE",IS,E,3070,
CLBAPulseLaserMicro,megamek.common.weapons.battleArmor.clan.laser,battleArmor,Micro Pulse Laser,CLBAMicroPulseLaser,Laser Pulse A,1,3,,,1,2,3,4,1,2,2,2,0.160,1,12,12500,3,,,,Short,,"258, TM",CLAN,F,,3055
CLBAMortarHeavy,megamek.common.weapons.battleArmor.clan,battleArmor,Mortar (Heavy),,Mortar D,,3,,2,2,4,6,8,,,,,0.4,2,17,7500,,,,,,,"263, TM",ALL,B,3054,
CLBAMortarLight,megamek.common.weapons.battleArmor.clan,battleArmor,Mortar (Light),,Mortar B,,3,,1,1,2,3,4,,,,,0.3,2,9,2100,,,,,,,"263, TM",ALL,B,3054,
CLBACompactNarc,megamek.common.weapons.battleArmor.clan,battleArmor,Narc (Compact),CLBACompactNarc,,0,,4,,2,4,5,7,,,,,.15,1,16,15000,,,,,,,"263, TM",ALL,E,,2870
ISBACompactNarc,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Narc (Compact),ISBACompactNarc,,0,,4,,2,4,5,7,,,,,.15,1,16,15000,,,,,,,"263, TM",ALL,E,,2870
ISBAFiredrakeNeedler,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Needler (Firedrake),ISBAFireDrakeNeedler,,,1,,,1,2,3,4,,,,,0.050,1,2,1500,,,,,,,"266, TM",IS,D,3058,
ISBAPlasmaRifle,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Plasma Rifle (Man-Portable),ISBAPlasmaRifle,,,2,,,2,4,6,8,,,,,0.3,2,12,28000,,,,,,,"267, TM",IS,E,3063,
ISBAPopUpMineLauncher,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Pop-up Mine,,,0,,1,,0,0,0,0,,,,,0.2,1,6,2500,,,,,,,"267, TM",IS,E,,
ISBAAPDS,megamek.common.weapons.battleArmor.innerSphere,battleArmor,RISC Advanced Point Defense System,ISBAAPDS,,,,,,,,3,,,,,,0.35,2,7,50000,,,,,,,"85, IO:AE",IS,E,3132,
ISBARL1,megamek.common.weapons.battleArmor.innerSphere.barl,battleArmor,Rocket Launcher 1,ISBARL1,,,,1,,3,7,12,18,,,,,.025,2,2,1500,,,,,,,"261, TM",IS,E,3050,
ISBARL2,megamek.common.weapons.battleArmor.innerSphere.barl,battleArmor,Rocket Launcher 2,ISBARL2,,,,2,,3,7,12,18,,,,,0.05,2,3,3000,,,,,,,"261, TM",IS,E,3050,
ISBARL3,megamek.common.weapons.battleArmor.innerSphere.barl,battleArmor,Rocket Launcher 3,ISBARL3,,,,3,,3,7,12,18,,,,,0.075,3,4,4500,,,,,,,"261, TM",IS,E,3050,
ISBARL4,megamek.common.weapons.battleArmor.innerSphere.barl,battleArmor,Rocket Launcher 4,ISBARL4,,,,4,,3,7,12,18,,,,,.1,3,5,6000,,,,,,,"261, TM",IS,E,3050,
ISBARL5,megamek.common.weapons.battleArmor.innerSphere.barl,battleArmor,Rocket Launcher 5,ISBARL5,,,,5,,3,7,12,18,,,,,.125,4,6,6000,,,,,,,"261, TM",IS,E,3050,
CLBASRM1,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 1,CLBASRM1,,,,1,,3,6,9,12,,,,,0.035,1,15,5000,,,,,,,"261, TM",CLAN,F,,2865
ISBASRM1,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 1,ISBASRM1,,,,1,,3,6,9,12,,,,,0.06,1,15,5000,,,,,,,"261, TM",IS,E,3050,
CLBASRM1OS,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 1 (OS),CLBASRM1OS,,,,1,,3,6,9,12,,,,,.020,2,3,2500,,,,,,,"261, TM",CLAN,F,,2865
ISBASRM1OS,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 1 (OS),ISBASRM1OS,,,,1,,3,6,9,12,,,,,.05,2,3,2500,,,,,,,"261, TM",IS,E,3050,
CLBASRM2,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 2,CLBASRM2,,2,,2,,3,6,9,12,,,,,0.07,2,21,10000,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM2,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 2,ISBASRM2,,2,,2,,3,6,9,12,,,,,0.12,2,21,10000,,,,,,,"261, TM",IS,E,3050,
CLBASRM2OS,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 2 (OS),CLBASRM2 (OS),,2,,2,,3,6,9,12,,,,,0.04,2,4,5000,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM2OS,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 2 (OS),ISBASRM2OS,,2,,2,,3,6,9,12,,,,,.075,2,4,5000,,,,,,,"261, TM",IS,E,3050,
CLBASRM3,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 3,CLBASRM3,,,,3,,3,6,9,12,,,,,0.105,2,30,15000,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM3,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 3,ISBASRM3,,,,3,,3,6,9,12,,,,,0.180,2,30,15000,,,,,,,"261, TM",IS,E,3050,
CLBASRM3OS,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 3 (OS),CLBASRM3 (OS),,,,3,,3,6,9,12,,,,,.06,2,6,7500,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM3OS,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 3 (OS),ISBASRM3OS,,,,3,,3,6,9,12,,,,,0.125,2,6,7500,,,,,,,"261, TM",IS,E,3050,
CLBASRM4,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 4,CLBASRM4,,3,,4,,3,6,9,12,,,,,.140,2,39,20000,4,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM4,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 4,ISBASRM4,,3,,4,,3,6,9,12,,,,,0.24,2,39,2000,,,,,,,"261, TM",IS,E,3050,
CLBASRM4OS,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 4 (OS),CLBASRM4 (OS),,3,,4,,3,6,9,12,,,,,.080,3,8,10000,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM4OS,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 4 (OS),ISBASRM4OS,,3,,4,,3,6,9,12,,,,,.150,3,8,10000,,,,,,,"261, TM",IS,E,3050,
CLBASRM5,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 5,CLBASRM5,,,,5,,3,6,9,12,,,,,.175,3,47,25000,4,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM5,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 5,ISBASRM5,,,,5,,3,6,9,12,,,,,0.3,3,47,25000,,,,,,,"261, TM",IS,E,3050,
CLBASRM5OS,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 5 (OS),CLBASRM5OS,,,,5,,3,6,9,12,,,,,.100,3,9,12500,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM5OS,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 5 (OS),ISBASRM5OS,,,,5,,3,6,9,12,,,,,.175,3,9,12500,,,,,,,"261, TM",IS,E,3050,
CLBASRM6,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 6,CLBASRM6,,4,,6,,3,6,9,12,,,,,.210,3,59,30000,8,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM6,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 6,ISBASRM6,,4,,6,,3,6,9,12,,,,,0.360,3,59,30000,,,,,,,"261, TM",IS,E,3050,
CLBASRM6OS,megamek.common.weapons.battleArmor.clan.srm,battleArmor,SRM 6 (OS),CLBASRM6 (OS),,4,,6,,3,6,9,12,,,,,.120,4,12,15000,2,,,,Short,,"261, TM",CLAN,F,,2865
ISBASRM6OS,megamek.common.weapons.battleArmor.innerSphere.srm,battleArmor,SRM 6 (OS),ISBASRM6OS,,4,,6,,3,6,9,12,,,,,0.2,4,12,15000,,,,,,,"261, TM",IS,E,3050,
CLBALaserSmall,megamek.common.weapons.battleArmor.clan.laser,battleArmor,Small Laser,CLBASmall Laser,Laser B,1,3,,,1,2,3,4,1,2,2,2,0.2,1,9,11250,,,,,,,"258, TM",CLAN,F,,2865
ISBALaserSmall,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,Small Laser,ISBASmallLaser,Laser B,1,3,,,1,2,3,4,1,2,2,2,0.2,1,9,11250,3,,,,Short,,"258, TM",IS,E,3050,
CLBAPulseLaserSmall,megamek.common.weapons.battleArmor.clan.laser,battleArmor,Small Pulse Laser,CLBASmallPulseLaser,Laser Pulse B,2,3,,,2,4,6,8,1,2,4,6,.4,1,24,16000,3,,,,Short,,"258, TM",CLAN,F,,2870
ISBALaserPulseSmall,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,Small Pulse Laser,ISBASmallPulseLaser,Laser Pulse B,,3,,,1,2,3,4,1,2,2,2,0.4,1,12,16000,3,,,,Short,,"258, TM",IS,E,3057,
ISBALaserVSPSmall,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,Small VSP Laser,ISBASmallVSPLaser,Laser VSP B,3,,,,2,4,6,8,1,2,3,4,.5,2,22,60000,4,,,,Short,,"133, TO:AUE",IS,E,3070,
CLBASupportPPC,megamek.common.weapons.battleArmor.clan,battleArmor,Support PPC,BA Support PPC,,,2,,,2,5,7,10,1,3,5,7,0.240,2,14,14000,,,,,,,"267, TM",CLAN,D,,
ISBASupportPPC,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Support PPC,ISBASupportPPC,,,2,,,2,5,7,10,1,3,5,7,0.25,2,14,14000,,,,,,,"267, TM",IS,D,3046,
CLBALightTAG,megamek.common.weapons.battleArmor.clan,battleArmor,TAG (Light),CLBALightTAG,,0,0,,,3,6,9,12,,,,,0.035,1,0,40000,,,,,,,"270, TM",ALL,E,3051,
ISBATubeArtillery,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Tube Artillery (BA),,,,,3,,2,2,2,2,,,,,0.5,4,27,200000,,,,,,,"96, TO:AUE",IS,E,3070,
ACBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,AC Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
AMSBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,AMS Bay,,,0,,,,1,,,,,,,,0.0,,0,0,,,,,,,,ALL,E,2613,2824
AR10BayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,AR10 Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,Short,,"210, TM",ALL,E,2540,2540
ArtilleryBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Artillery Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
CapitalACBayWeapon,megamek.common.weapons.bayWeapons.capital,bayWeapons,Capital AC Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
CapitalGaussBayWeapon,megamek.common.weapons.bayWeapons.capital,bayWeapons,Capital Gauss Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
CapitalLaserBayWeapon,megamek.common.weapons.bayWeapons.capital,bayWeapons,Capital Laser Bay,,,0,,,,12,24,40,50,,,,,,,,,,,,,,,,,,,
CapitalMDBayWeapon,megamek.common.weapons.bayWeapons.capital,bayWeapons,Capital Mass Driver Bay,,,0,,,,12,24,40,,,,,,0.0,,0,0,,,,,,,,,,,
CapitalMissileBayWeapon,megamek.common.weapons.bayWeapons.capital,bayWeapons,Capital Missile Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
CapitalPPCBayWeapon,megamek.common.weapons.bayWeapons.capital,bayWeapons,Capital PPC Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
GaussBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Gauss Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
LBXBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,LBX AC Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
LRMBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,LRM Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
LaserBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Laser Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
MMLBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,MML Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
MRMBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,MRM Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
MiscBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Misc Bay,,,0,,,,0,0,0,0,,,,,0.0,,0,0,,,,,,,,,,,
PPCBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,PPC Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
PlasmaBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Plasma Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
PointDefenseBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Point Defense Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
PulseLaserBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Pulse Laser Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
RLBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Rocket Launcher Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
SRMBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,SRM Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
ScreenLauncherBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Screen Launcher Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,"237, TM",,,,
SubCapCannonBayWeapon,megamek.common.weapons.bayWeapons.subCapital,bayWeapons,Sub-Capital Cannon Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
SubCapLaserBayWeapon,megamek.common.weapons.bayWeapons.subCapital,bayWeapons,Sub-Capital Laser Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
SubCapitalMissileBayWeapon,megamek.common.weapons.bayWeapons.subCapital,bayWeapons,Sub-Capital Missile Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
TeleOperatedMissileBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Tele-Operated Capital Missile Bay,,,0,,,,12,24,40,50,,,,,0.0,,0,0,,,,,,,,,,,
ThunderboltBayWeapon,megamek.common.weapons.bayWeapons,bayWeapons,Thunderbolt Bay,,,0,,,,6,12,20,25,,,,,0.0,,0,0,,,,,,,,,,,
CLAAAMissileWeapon,megamek.common.weapons.bombs.clan,bombs,AAA Missile,,,0,20,1,6,12,18,24,36,,,,,1,0,0,9000,20,20,,,Medium,,"169, TO:AUE",ALL,E,3069,
ISAAAMissileWeapon,megamek.common.weapons.bombs.innerSphere,bombs,AAA Missile,,,0,20,1,6,12,18,24,36,,,,,1,0,0,9000,20,20,,,Medium,,"169, TO:AUE",IS,E,3069,
CLASMissileWeapon,megamek.common.weapons.bombs.clan,bombs,AS Missile,,,0,30,1,9,17,25,32,50,,,,,2,0,0,15000,30,30,30,,Long,,"170, TO:AUE",ALL,D,3071,
ISASMissileWeapon,megamek.common.weapons.bombs.innerSphere,bombs,AS Missile,,,0,30,1,9,17,25,32,50,,,,,2,0,0,15000,30,30,30,,Long,,"170, TO:AUE",IS,D,3071,
CLASEWMissileWeapon,megamek.common.weapons.bombs.clan,bombs,Anti-Ship Electronic Warfare (ASEW) Missiles,,,0,0,1,7,14,21,28,42,,,,,2,0,0,20000,0,0,0,,Medium,,"170, TO:AUE",IS,E,3067,
ISASEWMissileWeapon,megamek.common.weapons.bombs.innerSphere,bombs,Anti-Ship Electronic Warfare (ASEW) Missiles,,,0,0,1,7,14,21,28,42,,,,,2,0,0,20000,0,0,0,,Medium,,"170, TO:AUE",IS,E,3067,
BombArrowIV,megamek.common.weapons.bombs,bombs,Arrow IV Bomb Mount,,,0,,20,,1,2,9,9,,,,,0,0,0,0,,,,,,,"171, TO:AUE",ALL,E,2622,2622
CLLAAMissileWeapon,megamek.common.weapons.bombs.clan,bombs,Light Air-to-Air (LAA) Missiles,,,0,6,1,,6,12,24,40,,,,,0.5,0,0,6000,6,6,,,Medium,,"171, TO:AUE",ALL,E,3069,
ISLAAMissileWeapon,megamek.common.weapons.bombs.innerSphere,bombs,Light Air-to-Air (LAA) Missiles,,,0,6,1,7,14,21,28,42,,,,,0.5,0,0,6000,6,6,,,Medium,,"171, TO:AUE",IS,E,3069,
BombISRLP10,megamek.common.weapons.bombs,bombs,Rocket Launcher (Prototype) Pod,,,0,,10,,5,11,18,22,,,,,1,0,0,0,6,6,,,Medium,,"67, IO:AE",ALL,B,,
BombISRL10,megamek.common.weapons.bombs,bombs,Rocket Launcher Pod,,,0,,10,,5,11,18,22,,,,,1,0,0,0,6,6,,,Medium,,"229, TM",IS,B,3060,
ISBombTAG,megamek.common.weapons.bombs.innerSphere,bombs,TAG Pod,,,0,0,,,5,10,15,20,,,,,1,0,0,50000,,,,,,,"238, TM",ALL,E,2600,2600
ISC3MBS,megamek.common.weapons.c3,c3,C3 Boosted System (Master),ISC3MasterBoostedSystemUnit,,0,0,,,5,9,15,18,,,,,6,6,0,3000000,,,,,,,"110, TO:AUE",IS,E,3073,
ISC3M,megamek.common.weapons.c3,c3,C3 Computer (Master),ISC3MasterUnit,,0,0,,,5,9,15,18,,,,,5,5,0,1500000,,,,,,,"209, TM",IS,E,3039,
ISC3RemoteSensorLauncher,megamek.common.weapons.c3,c3,C3 Remote Sensor Launcher,ISC3RemoteSensorLauncher,,,0,1,,3,6,9,12,,,,,4,3,30,400000,,,,,,,"110, TO:AUE",IS,E,3072,
AR10Weapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Capital Missile Launcher (AR10 Launcher),,,20,2,,,20,30,40,50,,,,,250.0,,961.0,250000,2,2,2,2,Extreme,,"210, TM",ALL,E,2540,2540
CapMissBarracudaWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Capital Missile Launcher (Barracuda),,,10,2,,,20,30,40,50,,,,,90.0,,522.0,90000,2,2,2,2,Extreme,,"210, TM",ALL,E,2200,2200
CapMissKillerWhaleWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Capital Missile Launcher (Killer Whale),,,20,4,,,7,14,21,28,,,,,150.0,,769.0,150000,4,4,4,4,Extreme,,"210, TM",ALL,E,2200,2200
CapMissKrakenWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Capital Missile Launcher (Kraken),,,50,10,,,11,22,34,46,,,,,190.0,,1914.0,455000,10,10,10,10,Extreme,,Unofficial,IS,F,3053,
CapMissWhiteSharkWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Capital Missile Launcher (White Shark),,,15,3,,,12,24,36,48,,,,,120.0,,577.0,130000,3,3,3,3,Extreme,,"210, TM",ALL,E,2200,2200
MassDriverHeavy,megamek.common.weapons.capitalWeapons,capitalWeapons,Mass Driver (Heavy),,,90,140,,,12,24,40,,,,,,100000,,16464.0,500000000,140,140,140,,,,"135, TO:AUE",IS,D,2715,
MassDriverLight,megamek.common.weapons.capitalWeapons,capitalWeapons,Mass Driver (Light),,,30,60,,,12,24,40,,,,,,30000,,7056.0,150000000,60,60,60,,Long,,"135, TO:AUE",IS,D,2715,
MassDriverMedium,megamek.common.weapons.capitalWeapons,capitalWeapons,Mass Driver (Medium),,,60,100,,,12,24,40,,,,,,50000,,11760.0,280000000,100,100,100,,Long,,"135, TO:AUE",IS,D,2715,
NAC10Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Autocannon (NAC/10),,,30,10,10,,11,22,33,44,,,,,2000.0,,1896.0,2000000,10,10,10,,Long,,"143, TO:AUE",ALL,D,,
NAC20Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Autocannon (NAC/20),,,60,20,20,,11,21,31,42,,,,,2500.0,,3792.0,5000000,20,20,20,,Long,,"143, TO:AUE",ALL,D,,
NAC25Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Autocannon (NAC/25),,,85,25,25,,10,20,30,40,,,,,3000.0,,4740.0,7500000,25,25,25,,Long,,"143, TO:AUE",ALL,D,,
NAC30Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Autocannon (NAC/30),,,100,30,30,,9,18,27,36,,,,,3500.0,,5688.0,10500000,30,30,30,,Long,,"143, TO:AUE",ALL,D,,
NAC35Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Autocannon (NAC/35),,,120,35,35,,7,14,21,28,,,,,4000.0,,4956.0,14000000,35,35,,,Medium,,"143, TO:AUE",ALL,D,,
NAC40Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Autocannon (NAC/40),,,135,40,40,,6,12,18,24,,,,,4500.0,,5664.0,18000000,40,40,,,Medium,,"143, TO:AUE",ALL,D,,
NGaussWeaponHeavy,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Gauss (Heavy),,Gauss Naval D,18,30,,,12,24,36,48,,,,,7000,,6048.0,50050000,30,30,30,30,Extreme,,"145, TO:AUE",ALL,E,2440,2440
NGaussWeaponLight,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Gauss (Light),,Gauss Naval B,9,15,,,14,28,40,56,,,,,4500,,3024.0,20300000,15,15,15,15,Extreme,,"145, TO:AUE",ALL,E,2440,2440
NGaussWeaponMedium,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Gauss (Medium),,Gauss Naval C,15,25,,,13,26,39,52,,,,,5500,,5040.0,30350000,25,25,25,25,Extreme,,"145, TO:AUE",ALL,E,2440,2440
NL35Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Laser 35,,,52,3,,,11,22,33,44,,,,,700.0,,830.0,500000,3.5,3.5,3.5,,Long,,"145, TO:AUE",ALL,D,,
NL45Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Laser 45,,,70,4,,,12,24,36,48,,,,,900.0,,1134.0,850000,4.5,4.5,4.5,4.5,Extreme,,"145, TO:AUE",ALL,D,,
NL55Weapon,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval Laser 55,,,85,5,,,13,26,39,52,,,,,1100.0,,1386.0,1250000,5.5,5.5,5.5,5.5,Extreme,,"145, TO:AUE",ALL,D,,
NPPCWeaponHeavy,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval PPC (Heavy),,PPC Naval D,225,15,,,13,26,39,52,,,,,3000.0,,3780.0,9050000,15,15,15,15,Extreme,,"146, TO:AUE",ALL,D,2350,2350
NPPCWeaponLight,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval PPC (Light),,PPC Naval B,105,7,,,11,22,33,44,,,,,1400.0,,1659.0,2000000,7,7,7,,Long,,"146, TO:AUE",ALL,D,2350,2350
